,date,location,operator,ac_type,registration,aboard,fatalities,ground,summary
2112,"January 17, 1965","Near Durango, Mexico",Aerovias del Norte,Curtiss C-46,,10,10,0,Crashed while attempting to land and caught fire.
2113,"January 22, 1965",Mt. Helmos. Greece,Military - U.S. Air Force,Douglas C-124C,52-1058,10,10,0,Struck a mountain.
2114,"February 03, 1965","Garoua, Cameroon",Air Cameroon,Curtiss C-46A,F-OAFI,4,4,0,
2115,"February 06, 1965","San Jose Volcano, Chile",LAN,Douglas DC-6B,CC-CCG-104,87,87,0,"After an improper climb, the aircraft flew into a 12,000 ft. mountain in the La Melosas area of the Andes. Crew did not follow flight plan for climbing out of Santiago."
2116,"February 08, 1965","Off Jones Beach, New York, New York",Eastern Air Lines,Douglas DC-7B,N849D,84,84,0,"The aircraft crashed shortly after taking off after taking evasive action to avoid  Pan American Flight 212, a  Boeing-707, that was planning to land. The aircraft were separated vertically by approximately 1,000 feet although this was not known to the  controllers involved. The EAL captain had the illusion that a potential collision course existed. As a result of this illusion, a descent was initiated. In this circumstance the DC-7 was placed in an unusual attitude, resulting in spatial disorientation of the crew. Placement of the two aircraft on a near head on course which prompted the EAL plane to make an evasive maneuver from which the pilots could not recover."
2117,"February 13, 1965","Miami, Florida",Aerolineas El Salvador,Curtiss C-46A,YS-012C,2,2,0,The cargo plane lost the No. 1 engine on takeoff. The prop could not be feathered and the plane crashed. Fatigue fracture of the crankshaft. Inadequate maintenance and inspection.
2118,"February 13, 1965","Near Shirinbulak, Azerbaijan",Aeroflot,Ilyushin IL-14P,CCCP-52003,23,23,0,Crashed. Crew error. Premature descent.
2119,"February 14, 1965","Mt. Nakanoone, Japan",Zen Nippon,Douglas DC-3,JA5080,2,2,0,Flew into  Mt. Nakanoone.
2120,"February 14, 1965","South Beach, New York",Air Taxi,Beechcraft B-35,N2151D,2,2,0,Crashed into the water. Undetermined cause.
2121,"March 02, 1965","Near Aradan, Russia",Aeroflot,Li-2,CCCP-54971,31,31,0,Crashed into mountainous area while en route. Failure of the rudder assembly.
2122,"March 08, 1965","Libmanan, Philippines",Fairways (Filipinas Orient Airways),Douglas DC-3,PI-C948,12,10,0,Crashed and burned on a forested mountain slope on Mt. Tangcong Vaca. Misjudgment of clearance with the ground by the crew which resulted in collision with trees.
2123,"March 08, 1965","Kuibyshev , Russia",Aeroflot,Tupolev Tu-124V,CCCP-45028,30,30,0,The plane crashed in a snowy field after taking off. Jamming of the elevator control and engine trouble.
2124,"March 17, 1965","Musquodoboit, Nova Scotia, Canada",Eastern Provincial Airways,Handley Page HPR-7 Herald 211,CF-NAF,8,8,0,Communication was lost with the aircraft soon after takeoff. Failure of corroded skin along the bottom center line of the aircraft which resulted in structural failure of the fuselage and aerial disintegration.
2125,"March 20, 1965","Khanty, Russia",Aeroflot,Antonov AN-24,CCCP-46764,47,43,0,"While attempting to land the plane  undershot the runway, hit a snowdrift, broke up and caught fire."
2126,"March 22, 1965","Sugar Loaf Mountain, Colombia",AVIANCA,Douglas C-47,HK-109,28,28,0,"Crashed into Pan de Azucar Peak, 35 nm from Bucaramanga. Flying under VFR in IFR conditions."
2127,"March 25, 1965","Off San Juan, Puerto Rico",Military - Royal Canadian Air Force,Canadair CP-107 MK-2,20727,16,16,0,The plane was participating in U.S. - Canadian maneuvers.
2128,"March 26, 1965","Lowery Pass, Pakistan",Pakistan International Airlines,Douglas C-47,AP-AAH,26,22,0,Crashed while en route.
2129,"March 31, 1965","Off Tangier, Morocco",Iberia Airlines,Convair CV-440-62,EC-ATH,53,50,0,Stalled and crashed into the sea 10 nm off the coast of Tangier. Reason unknown.
2130,"April 09, 1965","Bellfontaine, Ohio",Ortner Air Service - Taxi,Beech C-45H,N84R,2,2,0,Collided with trees while on approach in rain and fog. Took off with one transceiver inoperative and the other failed during the approach.
2131,"April 10, 1965","Near Damascus, Syria",Alia Royal Jordanian Airlines,Handley Page Dart Herald 207,JY-ACQ,54,54,0,The plane flew into a mountain after taking off from Beirut. Structural failure of the fuselage.
2132,"April 14, 1965","Jersey, Channel Islands, UK",British United Airways,Douglas C-47B,G-ANTB,27,26,0,"The aircraft crashed on its second approach in deteriorating weather condtions, crashing 3,000 feet short of the runway. The aircraft struck the approach lighting when it was flown below the safe approach path during an approach to land in conditions of very low clouds and poor visibility. The pilot disregarded the approach ban applied by his operations manual."
2133,"April 17, 1965","Johnstown, Pennsylvania",Baker Aero Inc. - Taxi,Piper PA-24,N7397P,2,2,0,Struck trees after an uncontrolled descent. VFR flight into adverse weather conditins.
2134,"April 23, 1965","Near Seattle, Washington",Aaxico Airlines,Douglas DC-6A,N6541C,5,5,0,"The cargo plane flew into Mt. Rainier at 10,200 ft.  The improper correlation of the aircraft position with respect to obstructing terrain while continuing the flight on a VFR flight plan in instrument weather conditions."
2135,"May 05, 1965","Tenerife, Canary Islands, Spain
Canary Islands",Iberia Airlines,Lockheed 1049G-55 Super Constellation,EC-AIN,49,30,0,"The pilot, who saw the beginning of the runway clearly, but not the rest of it, decided to make a very low run after which he re-applied power for a go-around. After starting his go-around, the aircraft struck a tractor located 50 meters from the runway edge. Heavily damaged, the plane crashed on the western edge of the diversion canal of the Rodeo gorge. Decision not to divert to Las Palmas in view of the weather conditions."
2136,"May 20, 1965","Cairo, Egypt",Pakistan International Airlines,Boeing B-720-040B,AP-AMH,127,121,0,The aircraft  crashed during its approach.The plane descended during the approach at triple the normal rate until the aircraft struck the ground. The aircraft exceeded the recommended descent rate during the final stages of landing for reasons unknown.
2137,"June 15, 1965","Near Colombus, Georgia",Military - U.S. Army / Military - U.S. Army,Bell UH-1D / Bell UH1D (helicopters),63-8760/63-8840,18,18,0,"Two helicopters flying in formation, crashed in mid-air at Benning military base. Ten aboard 8760 and 8 aboard 8840 killed."
2138,"June 25, 1965","Near Santa Ana, California",Military - U.S. Air Force,Boeing C-135A,60-0373,85,85,0,"Crashed shortly after taking off from El Toro Marine Corps Air Station bound for Okinawa. After attaining an altitude of 1,000 feet, the plane failed to make a left turn and flew into rising terrain. Cause unknown."
2139,"June 28, 1965","San Francisco, California",Pan American World Airways,Boeing B-707-321B,N761PA,153,0,0,"Just after the aircraft took off from San Francisco International Airport, the No. 4 engine disintegrated tearing off 25 feet of the right wing. An emergency landing was safely made at Travis Air Force Base. A plane was dispatched to pick up the passengers at Travis Air Force Base. While attempting to land, and in plain view of the passengers, the nose gear collapsed. Improper turbine rotor positioning during engine assembly and the use of serviceable worn parts. The aircraft was named ""Clipper Friendship."""
2140,"July 01, 1965","Kansas City, Missouri",Continental Airlines,Boeing B-707-124,N70773,66,0,0,The aircraft slid off the end of the runway while landing and broke in two. Hydroplaning of the landing gear wheels which led to braking ineffectiveness.
2141,"July 06, 1965","Near Oxford, England",Military -Royal Air Force,Handley Page Hastings C Mark 1,TG577,41,41,0,"The plane, carrying paratroopers, climbed to 2,000 ft., made a left turn and crashed. Fatigue fracture of 2 bolts that attached the elevator to the horizontal stabilizer resulted in an abnormal pitch-up attitude and stall."
2142,"July 07, 1965","Cairo, Egypt",Military - Soviet Air Force,Antonov AN-12,,31,30,0,Crashed and burned after taking off from Almaza Airport.
2143,"July 08, 1965","Dog Creek, British Columbia, Canada",Canadian Pacific Air Lines,Douglas DC-6B,CF-CUQ,52,52,0,The tail section separated from the fuselage after a bomb exploded in the passenger compartment.  It was believed a saboteur ignited a mixture of acid and gunpowder which may have been poured into the toilet in a suicide-for-insurance scheme.
2144,"July 11, 1965","Off Nantucket, Massachusetts",Military - U.S. Air Force,EC-121H (Super Constellation),55-1036,19,16,0,"The aircraft experienced a lost of the No. 2 engine followed by a fire in the No. 3 engine and ditched in the North Atlantic, 100 miles northeast of Nantucket, in zero-zero weather."
2145,"July 15, 1965","St. Thomas, Virgin Islands",Virgin Islands Airways,de Havilland 106A,N6503D,12,8,0,The plane crashed into the water shortly after taking off. The pilot failed to maintain flying speed after lifting off prematurely. Failed to abort takeoff. Selected wrong runway relative to wind. Improperly loaded aircraft.
2146,"July 17, 1965","Off Choushi, Japan",Military - Japan Maritime Self Defense Force,Lockheed P2V-7,,11,11,0,Crashed into the sea.
2147,"July 25, 1965","Near Libacao, Philippines",Military - Philippine Air Force,Douglas C-47,777,37,37,0,"Crashed and burned on Penay Island on a domestic flight. The plane hit Mt. Madiac at 7,000 ft. in rain, wind and low clouds."
2148,"August 04, 1965","Panama City, Panama",Rutas Internacionales Peruanes,Douglas C-54D,OB-R-769,7,7,0,The No. 2 engine of the cargo plane caught fire while it was taking off. A fire and a fuel tank explosion caused the plane to descend uncontrollably and crash.
2149,"August 12, 1965","Near Cuiaba, Brazil",Paraense Transportes Aéreos,Curtiss C-46A,PP-BTH,13,13,0,"About 30 minutes after taking off, the aircraft turned back to Mato Grosso with its left engine on fire. While over Buracao, it's left wing and engine broke away from the fuselage and it crashed to the ground."
2150,"August 16, 1965","Lake Michigan, near Chicago, Illinois",United Air Lines,Boeing B-727-22,N7036U,30,30,0,"The plane crashed into Lake Michigan 19.5 miles east of Lake Forest, Illinois during  an approach and while descending from FL 350. The aircraft made a continuous descent at an average rate of approximately 2,000 feet per minute from 35,000 feet to impact with the water in a clean flight configuration. Officially, a cause could not be determined. The aircraft was dispatched illegally without an operating CVR. Possible misread altimeter. The crew could have read the altimeter as 16,000 instead of  6,000 ft. and continued a descent below what they were cleared for. Possible excessive sink rate. Excessive sink rate is thought to have possibly caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
2151,"August 20, 1965","Jeuk, Belgium",LOT Polish Airlines,Vickers 804 Viscount,SP-LVA,4,4,0,After making a request to change course to avoid heavy weather the positioning flight suddenly descended and crashed. The overall atmospheric conditions in the vicinity of Jeuk and the circumstances of the accident were such that it was assumed that the pilot lost control of the aircraft when entering a cumulonimbus cloud.
2152,"August 24, 1965",Hong Kong,Military - U.S. Marine Corps,Lockheed KC-130F,149802,72,59,0,The plane crashed into Kowloon Bay after taking off from Kai Tak Airport. Pilot error. Commander's decision to proceed with the takeoff with only three engines. Failure to feather the non-functioning engine or trim the plane for a 3 engine takeoff. Decision not to abort after directional control was lost.
2153,"September 04, 1965","Lake Tustumena, Alaska",Cordova Airlines,Aero Commander 680,N6305U,5,4,0,The pilot misjudged altitude and distance and crashed into the lake during a descent to land.  VFR flilght into adverse weather conditions.
2154,"September 11, 1965","Near La Carlota, Phillipines",Filipinas Orient Airways,Douglas DC-3A,PI-C942,11,11,0,Hit tree tops and crashed into Mt. Kantakan.
2155,"September 14, 1965","Gore, Ethiopia",Ethiopian Airlines,Douglas DC-3,ET-ABI,17,17,0,
2156,"September 16, 1965","Quang Ngai, South Vietnam",Air Vietnam (South Vietnam),Douglas DC-3,XV-NIC,39,38,0,Shot down by Communist ground fire.
2157,"September 16, 1965","Near Pastaza, Ecuador",TAO,Transportes Aéreos Orientales,HC-AFQ,11,9,0,Crashed while en route.
2158,"September 17, 1965","Montserrat, Antigua",Pan American World Airways,Boeing B-707-121B,N708PA,30,30,0,"Crashed into mountains 32 miles southwest of its destination while descending for a landing. Pilot became lost and disoriented. Crew did not determine their position before descending. Navigation error. The aircraft was named ""Clipper Constitution."""
2159,"September 27, 1965","Bao Trai, Vietnam",Air America,Beechcraft C-45H,N9574Z,3,3,0,Collided with houses during an uncontrolled descent.
2160,"October 08, 1965","Near Patian, Pakistan",Pakistan International Airlines,Fokker F-27 Friendship 200,AP-ATT,4,4,0,The cago plane did not clear a ridge and crashed.
2161,"October 17, 1965","Bucaramanga, Colombia",AVIANCA,Douglas DC-3 / Piper PA-18A,HK-118/HK-922F,19,19,0,"Midair collision between a Douglas DC-3 and Piper PA-18.  Eighteen killed on the DC-3, one on the Piper."
2162,"October 17, 1965","Mohanbari, India",Kalinga Airlines,Douglas C-47A,VT-AUQ,8,8,0,The cargo plane crashed while dropping supplies.
2163,"October 18, 1965","Near Hanoi, Vietnam",International Control Commision,Boeing 307 Stratoliner B-1,F-BELV,13,13,0,Shot down by Communist ground fire.
2164,"October 20, 1965","Near Manila, Philippines",Philippine Air Lines,Douglas DC-3,PI-C-144,37,1,0,The aircraft veered to the left after taking off. The pilot lost control and crashed. Failure of the pilot to set the rudder trim tab to the proper position before takeoff and during the flight. Undetected deflection of the rudder trim tab.
2165,"October 27, 1965","London, England",British European Airways,Vickers Vanguard 951,G-APEE,36,36,0,"The aircraft made two unsuccessfull attempts at landing at Heathrow Airport and overshot the runway. The third time, the plane again overshot the runway, began climbing, then suddenly dove into the runway at a steep angle. Pilot error. Low visibility, crew fatigue, disorientation, lack of experience in overshooting in fog, over-reliance on instruments and incorrect indication of position by instruments."
2166,"November 02, 1965","Obock, French Somaliland",Military - French Air Force,Douglas C-47A,316410,30,30,0,The plane crashed and exploded as it attempted to land at Obock. The civilians aboard included a hand-ball team.
2167,"November 03, 1965","Off Puerto Lemon, Costa Rica",Military - Argentine Air Force,Douglas C-54,TC-48,68,68,0,Disappeared over the Gulf after the pilot sent a distress message reporting a fire in the No. 3 engine. Cause unknown.
2168,"November 04, 1965",Southeastern Colombia,Aeropesca,Consolidated PBY-5A Catalina,,0,6,0,Disappeared
2169,"November 08, 1965","Near Boqueron, Colombia",Aerolineas TAO,Douglas C-47DL,HK-1202,30,30,0,The plane crashed while en route. Flight on an prohibited route in adverse weather. Flight VFR in IFR conditions.
2170,"November 08, 1965","Cincinnati Airport, near Covington, Kentucky",American Airlines,Boeing B-727-23,N1996,62,58,0,"The aircraft crashed short of runway during a visual approach in deteriorating weather conditions. Failure of the flight crew to properly monitor the aircraft's height during the approach into deteriorating weather conditions resulting in an excessive sink rate. Excessive sink rate is thought to have caused four 727 accidents in succession.  Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
2171,"November 10, 1965","Murmansk, Russia",Aeroflot,Tupolev TU-124,CCCP-45086,64,32,0,Crashed on the ice-covered Lake Kilp-Yavr while attempting to land . Premature descent during approach. Sudden change in the weather.
2172,"November 11, 1965","Salt Lake City, Utah",United Air Lines,Boeing B-727-22,N7030U,91,43,0,"The aircraft crashed short of the runway and collided with runway lights, 335 feet short of the runway, causing the main landing gear to fail followed by a fire. Too high of a descent rate during approach. Failure of the captain to take  timely action to arrest an excessive descent rate during the landing approach. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected. Bill Linderman, 45, champion rodeo cowboy killled."
2173,"November 12, 1965","Maui, Hawaii",Skyway Air  - Taxi,Beechcraft C-45H,N9915Z,2,2,0,The plane missed the approach and crashed. Disoriented in IFR flight for reasons unknown.
2174,"November 14, 1965","Near Palm Springs, California",Paul Kelly Flying Service Inc.,Learjet 23,N243F,8,8,0,"The plane crashed 13 miles east of Palm Springs Airport shortly after taking off. The pilot was confronted with conditions requiring the division of his attention between instrument reference for proper attitude information and visual reference for terrain and aircraft avoidance. The aircraft went out of control from a cruise configuration and crashed in a 55-degree nosedown, vertical left bank attitude. Spatial disorientation of the pilot, resulting in a loss of control."
2175,"November 27, 1965","Salt Lake City , Utah",Edde Airlines,Douglas C-53-DO (DC-3A),N485,13,13,0,Crashed into a hill 22 miles south of Salt Lake City after taking off in snow and poor visibility. The track was aboout 1 mile east of Pass Through mountain. Judgment of the pilot in command in initiating a VFR flight under existing weather conditions and terrain environment.
2176,"December 04, 1965","Carmel, New York",Trans World Airlines / Eastern Air Lines,Boeing B-707-131B / L1049C Constellation,N748TW/N6218C,112,4,0,"Midair collision at 11,000 feet. Misjudgment of altitude separation by the crew of EAL 853 because of an optical illusion created by the up-slope effect of cloud tops resulting in an evasive maneuver by the EAL 853 crew and a reactionary evasive maneuver by  the TWA 42 crew. The 707 landed at JFK despite losing 25 feet of the left wing. There were no injuries to the crew of 7 and 51 passengers aboard the 707.  Three of the 46 passengers and 1 crew member aboard  EAL 853 were killed. Misjudgment of altitude separation by the crew of the Constellation because of an optical illusion created by the up-slope effect of cloud tops, resulting in an evasive maneuver by the Constellation crew and a reactionary evasive maneuver by the Boeing crew."
2177,"December 07, 1965","Tenerife, Canary Islands",Spantax,Douglas DC-3,EC-ARZ,32,32,0,Crashed into high terrain shortly after takeoff. Cause undetermined. Mechanical failure suspected.
2178,"December 11, 1965","Near Tuy Hoa, South Vietnam",Military - U.S. Air Force,Fairchild C-123C,56-4376,85,85,0,"While en route in poor weather, the plane struck trees on a mountain slope and then went into a flat spin, crashed and burned."
2179,"December 12, 1965","Kingman, Arizona",Air Taxi,Cessna 120,N89805C,2,2,0,Airframe failure after flying into adverse weather. VFR flight into adverse weather conditions.
2180,"December 16, 1965","Legaspi, Philippines",Air Manila,Douglas DC-3A,PI-C856,21,2,0,
2181,"December 29, 1965","Redericksburg, Texas",Ray A. Gardner - Taxi,Beechcraft G35,N4554D,3,3,0,VFR flight into adverse weather conditions.
2182,"January 01, 1966","Near Palembang, Sumatra, Indonesia",Garuda  Indonesia Airlines / Garuda Indonesia Airlines,Douglas DC-3 / Douglas DC-3,PK-GDU/PK-GDE,34,34,0,Midair collision between two Garuda aircraft. Both crashed into a swamp while approaching Palembang. Seventeen died on each aircraft.
2183,"January 01, 1966","Kamchatsky, Russia",Aeroflot,Ilyushin IL-14P,CCCP-61618,23,23,0,Crashed due to engine failure due to the destruction of the cylinder head number 12
2184,"January 09, 1966","Chipaque, Cundinamarca, Colombia",Satena,DC3(C47),,11,11,0,
2185,"January 15, 1966","Off Cartagena, Colombia",AVIANCA,Douglas DC-6-54B,HK-730,64,56,0,Crashed shortly after taking off. The plane rose less than 100 ft. and then crashed into shallow water.  Possible engine failure. Maintenance error and inadequate inspections.
2186,"January 22, 1966","Port-au-Prince, Haiti",COHATA,Douglas DC-3,N4662,35,30,0,Crashed 5 minutes after taking off from Las Cayee.
2187,"January 24, 1966","Mont Blanc, French Alps, Switzerland",Air India,Boeing B-707-437,VT-DMN,117,117,0,"The aircraft was told to hold at 1,000 ft. above the clouds  before landing at Geneva  but descended below the minimum safe altitude and crashed into Mont Blanc. With a malfunctioning No. 2 VOR the crew thought they had already passed Mt. Blanc. Miscalculation by the crew on their position and the phraseology used by the controller in relay the aircraft's position. Hambi Bhabha, father of India's nuclear program killed. The aircraft was named Kanchenjunga."
2188,"January 25, 1966","Near Binh Khe, South Vietnam",Military - U.S. Air Force,Fairchild C-123B,54-0702,46,46,0,"Struck trees inverted, 10 minutes after taking off from An Khe airfield. Evidence was found of a fire in the No. 2 engine."
2189,"January 27, 1966","Erie, Pennsylvania",Devener Flying Service - Taxi,Beechcraft B95A,N598C,3,3,0,The plane crashed into water while on initial approach. Failure of both engines due to carburetor icing. Improper operation of powerplant controls by pilot.
2190,"January 28, 1966","Bremen, Germany",Lufthansa,Convair CV-440-0,D-ACAT,46,46,0,Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.
2191,"February 04, 1966","Tokyo Bay, Japan",All Nippon Airways,Boeing B-727-81,JA8302,133,133,0,"The jetliner crashed about 7.5 miles ESE of Tokyo International (Haneda) Airport where it was scheduled to land. The aircraft was on VFR approach and was observed at a height of 2, 000 ft. just before the crash.  Cause undetermined. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
2192,"February 07, 1966","Srinagar, India",Indian Airlines,Fokker F-27 Friendship 200,PH-SAB,37,37,0,"Crashed into high terrain, 12 miles west of its proper course, due to a navigation error. Abandonment of the ILS approach at too early a stage during an attempt to land under conditions of poor visibility in fog."
2193,"February 08, 1966","Mattoon, Illinois",Beatty Flying Service - Taxi,Beechcraft D35,N112U,2,2,0,The aircraft failed to maintain flying speed and crashed. Improperly loaded aircraft with center of gravity behind the rear limit.
2194,"February 15, 1966","Delhi, India",Indian Airlines,Sud Aviation SE-210 Caravelle VIN,VT-DPP,80,2,0,Undershot the runway and struck a concrete obstruction in poor weather conditions. Lack of information supplied to the pilot regarding the true conditions of surface visibility which was below the minimum prescribed for a night landing.  Lack of proper monitoring and possibly incorrect setting of altimeters during the approach to land. The use of landing lights which resulted in glare during the final stages of the approach in foggy conditions
2195,"February 16, 1966","Near Pechora, Russia",Aeroflot,Ilyushin IL-18M,CCCP-52058,35,35,0,"Approximately 1 hour into a flight, the plane's right engine failed and a fire erupted which could not be extinguished. The crew attempted to divert to Pechora but did not make it. The engine fell off, te plane rolled to the left and the plane crashed into a forest."
2196,"February 17, 1966","Moscow, Russia",Aeroflot,Tupolev Tu-114D,CCCP-76491,66,21,0,"While taking off, the aircraft struck a snow drift with the left main landing gear. The pilot banked the plane to the right, causing the No..3 propeller to strike the runway. The airplane crashed and caught fire. The runway was not entirely cleared and the visibility was poor."
2197,"February 17, 1966","Moscow, Russia",Aeroflot,Tupolev Tu-114,,21,21,0,Crashed on takeoff.
2198,"February 18, 1966","Near Milan, Italy",Belgian International Air Services,Douglas DC-6B,OO-ABG,4,4,0,The cargo plane struck trees to the right of the runway while attempting to land. Failure of the pilot to comply with the Company's minima. Subsequent belated decision to execute the missed approach procedure.
2199,"March 04, 1966","Near Tokyo, Japan",Canadian Pacific Air Lines,McDonnell Douglas DC-8-43,CF-CPK,72,64,0,The aircraft struck the approach lights and a sea wall during a landing attempt. The pilot initiated a steep rate of descent with the intention of executing a final approach at a lower altitude. Poor visibility due to illusive fog conditions misled the pilot and affected his judgement.
2200,"March 05, 1966","Near Gotemba City, Mt. Fuji, Japan",British Overseas Airways,Boeing B-707-436,G-APFE,124,124,0,The aircraft crashed into Mt. Fuji after encountering severe turbulence when the pilot decided to give the passengers a view of the mountain. The aircraft encountered severe clear air turbulence and started to come apart in the air before crashing.
2201,"March 08, 1966","Santa Cruz Island, California",Bassett Complany - Taxi,Piper PA-32,N3296W,6,6,0,Crashed into a mountain slope after VFR flight into adverse weather conditions.
2202,"March 10, 1966","Reef Island, Alaska",,Grumman G-21A,CF-MSK,7,6,0,"Undershot the runway on final approach in snow, after pilot misjudged altitude and clearance. VFR flight into adverse weather conditiions."
2203,"March 10, 1966","Athens, Greece",Trans Mediterranean Airways,Douglas DC-6A,OD-AEL,5,5,0,Flew into Mt. Parnon.
2204,"March 18, 1966","Cairo, Egypt",United Arab Airlines,Antonov AN-24B,SU-AOA,30,30,0,Crashed into sand dunes. Improper approach during a sandstorm with turbulence and icing. Descent of the aircraft below the safe flight altitude in the final approach.
2205,"March 20, 1966","Asuncion, Paraguay",Servicios Americanos,Curtiss C-46F,N1245N,2,2,0,The cargo plane crashed.
2206,"April 05, 1966","Princeston, West Virginia",Layman Weikle - Taxi,Cessna 172D,N2486U,2,2,0,The aircraft crashed after an uncontrolled descent. Carbon Monoxide poisoning from defective exhaust muffler system.
2207,"April 09, 1966","Off San Diego, California",Military - U.S. Navy,Lockheed P-3A Orion,152171,11,11,0,Crashed into water due to loss of the autopilot during an anti-submarine training flight.
2208,"April 17, 1966","Sam Neua, Laos",Continental Air Services,Douglas C-47A,N8744R,2,2,0,The cargo plane crashed while on a Vietnam war mission.
2209,"April 22, 1966","Near Ardmore, Oklahoma",American Flyers Airline,Lockheed 188C Electra,N183H,98,83,0,"The aircraft crashed into foothills during landing attempt at Ardmore Municipal Airport . During the approach in rain and fog, the captain made a last-minute change in his choice of runways. One minute later the plane crashed into high ground. Incapacitation of the captain with a heart attack during final stages of approach.  The captain, who suffered from a long standing heart condition and diabetes, managed to keep his pilot's license by falsifying his medical records."
2210,"April 23, 1966","Off Baku, Azerbaijan",Aeroflot,Ilyushin IL-14,CCCP-61772,33,33,0,The pilot reported both engine were losing power and he was going to ditch the plane into the ocean. Engine failure cause unknown. The wreckage was never found.
2211,"April 27, 1966","Tomas, Peru",LANSA,Lockheed 749A Constellation,OB-R-771,49,49,0,"Crashed into 12,600 ft. Mt. Talsula. Pilot error. Incorrectly selected the route. Incorrectly calculated the climb performance of the aircraft in relation to its total weight of takeoff. Underestimated the elevation of peaks he had to clear along the route."
2212,"May 04, 1966","Near Di Linh, South Vietnam",Military - U.S. Army,Boeing CH47A (helicopter),64-13138,20,20,0,Engine failure caused the helicopter to crash shortly after taking off. Failure of the aircraft's No. 2 pinion drive shaft thrust bearing.
2213,"May 06, 1966","Neah Bay, Washington",Kurtzer Flying Service - Taxi,Cessna 180,N4546B,2,2,0,Collided with trees in rain and fog after VFR flight into adverse weather conditions.
2214,"May 18, 1966","Okinawa, Japan",Military - U.S. Air Force,Boeing KC-135A,57-1444,11,11,1,Unable to gain altitude as the plane took off crashing near highway 16.
2215,"June 16, 1966","Near Columbia City, Indiana",Zantop Air Transport,Curtiss C-46A,N10415,3,3,0,Collided with a Piper PA-23. Failure of both crews to maintain adequate lookout. One aboard the Piper killed.
2216,"June 20, 1966","Montreal, Quebec, Canada",Nordair,Curtiss C-46E,CF-FBJ,2,2,0,The cargo plane cashed en route. Wreckage found three days later.
2217,"June 27, 1966","Ashland, Alabama",Lackey Aero Company - Taxi,Piper PA-23,N5775Y,4,4,0,Crashed after rear engine mount failed leading to inflight failure.
2218,"June 27, 1966","Long Beach, Mississippi",McCoy Flying Service - Taxi,Douglas DC-3,N17337,12,2,0,The crew attempted a return to the airport after the No.2 engine failed on climb out. The pilot-in-command failed to maintain flying speed and the aircraft stalled and crashed. No.3 piston failed due to oil starvation resulting from inadequate maintenance and inspection. Improper in-flight decisions or planning. Poor crew coordination. Improper emergency procedures.
2219,"June 29, 1966","Sablayan, Philippines",Philippine Air Lines,Douglas DC-3,PI-C17,26,24,0,"Cashed in poor weather. Misjudgment of the terrain clearance, which resulted in the collision with trees in severe turbulence and strong gusty winds."
2220,"July 04, 1966","Auckland, New Zealand",Air New Zealand,Douglas DC-8-52,ZK-NZB,5,2,0,"The incurrence of reverse thrust during simulated failure of no. 4 engine on takeoff. That condition arose when very rapid rearward movement of the power level generated an inertia force which caused the associated thrust brake lever to rise and enter the reverse idle detent. After lift-off, the minimum control speed essentially required to overcome the prevailing state of thrust imbalance was never attained and an uncontrollable roll, accompanied by some degree of yaw and sideslip in the same direction, ensued. When the condition of reverse thrust was recognized and eliminated, insufficient time and height were available to allow the aircraft to recover from its precarious attitude before it struck the ground."
2221,"July 11, 1966","Cerro el Planchon, Chile",Aeropesca Colombia,Curtiss C-46D,HK-527,8,8,0,The cargo plane was never found.
2222,"July 11, 1966","Hideaway Park, Colorado",Alamo Airways,de Havilland 104-6A,N1563V,3,3,0,Struck mountain slope while in level flight. VFR flight into adverse weather conditions.
2223,"July 15, 1966",Pakistan,Military - Pakistan Air Force,Lockheed C-130B Hercules,24142,10,10,0,Struck a mountain.
2224,"July 24, 1966","Near Munster, Indiana",Private - Mainline Aviation,Beechcraft H50,N538B,4,4,0,"The aircraft stalled during an emergency single engine approach. Both engines failed as the approach continued. The plane came to rest in a shallow pond on the golf course. Fuel starvation. Mismanagement of  fuel. Pro golfer Tony Lema and his wife, Betty, was killed. He was on a Buick promotional tour."
