,month,day,year,char_unknow,time_hour,time_minutes,operator,category_operator,ac_type,category_ac_type,country,route,aboard_people,fatalities_total,ground_deads,summary
416,August,02,1936,not c,06,00,Air France,Air,Wibault 280,No category,France,Unknown,3 ,3 ,0,The mail plane crashed into mountains 50 miles from Toulouse in fog.
417,August,03,1936,not c,Unknown,Unknown,Mexicana,No category,Lockheed Orion,Cessna,Mexico,Unknown,1 ,1 ,0,Unknown
418,August,05,1936,not c,22,00,Chicago Southern Airlines,Air,Lockheed 10B Electra,Cessna,United States,New Orleans - Chicago,8 ,8 ,0,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground."
419,August,06,1936,not c,Unknown,Unknown,SCADTA,No category,Junkers F-13,No category,Colombia,Unknown,2 ,2 ,0,Unknown
420,August,12,1936,not c,Unknown,Unknown,British Airways,Air,De Havilland DH-86,No category,Germany,Unknown,2 ,2 ,0,Unknown
421,August,22,1936,not c,Unknown,Unknown,Imperial Airways,Air,Short Kent,No category,Greece,Unknown,11 ,2 ,0,Unknown
422,September,05,1936,c,22,00,Pittsburgh Skyways Inc.,Company,Stinson SM 6000B,No category,United States,Sightseeing,11 ,10 ,0,Lost all three engines after the fuel supply was cut off. Possibly a passenger shut off the fuel supply by accident with the heel of her shoe.
423,September,25,1936,not c,Unknown,Unknown,Imperial Airways,Air,Boulton and Paul P-71,No category,English Channel,Unknown,2 ,2 ,0,Unknown
424,September,28,1936,not c,Unknown,Unknown,Ala Littoria SA,No category,Cant Z-506 (float plane),No category,Libya,"Addis Ababa, Ethiopia - Rome, Italy",10 ,9 ,0,Suffered engine failue on the approach and struck the mast of a ship.
425,September,28,1936,not c,Unknown,Unknown,Varney Air Lines,Air,Lockheed Vega,Cessna,United States,"El Paso, TX - Pueblo, CO",3 ,3 ,0,Crashed in a snowstorm after the pilot cut the motor and the plane crashed into a hill.
426,September,29,1936,not c,Unknown,Unknown,Blue Bird Air Service,Services,Lockheed Vega 5C,Cessna,United States,Unknown,4 ,4 ,0,"A half-hour after taking off, the engine failed and the plane crashed into a fence and burst into flames  while making a forced landing."
427,October,06,1936,not c,Unknown,Unknown,Mexicana,No category,Lockheed Orion,Cessna,Mexico,Unknown,1 ,1 ,0,Unknown
428,October,09,1936,not c,Unknown,Unknown,North Sea Aerial and General Transport,Transport,Blackburn B-2,No category,['?'],Unknown,1 ,1 ,0,Unknown
429,November,01,1936,c,15,00,Deutsche Lufthansa,No category,Junkers JU-52,No category,Germany,Frankfurt - Erfurt,15 ,11 ,0,Caught fire as the airliner struck the side of a hill. The pilot may have lost his way in heavy fog.
430,November,17,1936,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,Germany,Unknown,16 ,4 ,0,Pilot error.
431,November,19,1936,not c,Unknown,Unknown,British Airways,Air,Fokker F-XII,No category,England,Unknown,4 ,2 ,0,Unknown
432,December,04,1936,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,France,Unknown,6 ,6 ,0,Crashed into the French Alps  in high winds.
433,December,06,1936,not c,Unknown,Unknown,Deruluft,No category,Antonov AN-9,No category,Near Moscow,Unknown,14 ,9 ,0,Pilot error.
434,December,07,1936,not c,10,47,Air France,Air,Latécoère 300,No category,French West Africa,Unknown,5 ,5 ,0,"Aviator Jean Mermoz killed. The last message from the aviator was ""we have switched off the rear engine."" The plane and crew of four were never found."
435,December,09,1936,not c,10,30,KLM Royal Dutch Airlines,Air,Douglas DC-2-115E,No category,England,Croydon - Amsterdam,17 ,15 ,0,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cierva killed. Pilot error. Piilot did not maintain directional control of the aircraft and abort the takeoff
436,December,15,1936,not c,03,14,Western Air Express,Air,Boeing 247D,Douglas,United States,Burbank - Las Vegas - Salt Lake City,7 ,7 ,0,Crashed into Lone Peak while attempting to land at Salt Lake. Inability of the pilots to identify the south leg of the Salt Lake radio range due to a local static condition which rendered both range receivers in the airplane inoperative.
437,December,18,1936,not c,03,20,Northwest Orient Airlines,Air,Lockheed 10 Electra,Cessna,United States,Unknown,2 ,2 ,0,"The mail plane crashed into Early Creek Ridge, 15 miles south of Kellogg, in a blizzard."
438,December,19,1936,not c,20,47,Eastern Air Lines,Air,Douglas DC-2-112,No category,United States,"Miami, FL - Charleston, SC - Newark, NJ",14 ,14 ,0,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and static conditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible."
439,December,23,1936,not c,Unknown,Unknown,Braniff Airways,Air,Lockheed 10 Electra,Cessna,United States,Test flight,6 ,6 ,0,After an attempted go-around the right engine failed and the plane crashed and burst into flames into a corn field..
440,December,26,1936,not c,Unknown,Unknown,China National Aviation Corporation,No category,Douglas DC-2,No category,China,Unknown,? ,? ,0,Unknown
441,December,27,1936,not c,19,38,United Air Lines,Air,Boeing 247-D,Douglas,United States,Oakland - San Francisco - Los Angeles,12 ,12 ,0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather."
442,January,11,1937,not c,C1,:30,Mexicana,No category,Lockheed 10E Electra,Cessna,Mexico,"Mexico City - Merida, Yucatan",9 ,9 ,0,Crashed into a mountain side and burned in adverse weather.
443,January,12,1937,not c,11,07,Western Air Express,Air,Boeing 247D,Douglas,United States,Salt Lake City - Burbank,13 ,5 ,0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital."
444,January,26,1937,c,17,30,Sabena,No category,Sabca S-73,No category,Algeria,Belgian Congo - Brussels,12 ,12 ,0,The mail plane crashed while attempting to land.
445,February,09,1937,not c,20,50,United Air Lines,Air,Douglas DC-3A,No category,United States,Los Angeles - San Francisco - Oakland,11 ,11 ,0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3."
446,February,19,1937,not c,13,40,Airlines of Australia,Air,Stinson Model A,No category,Australia,Brisbane - Sidney,7 ,5 ,0,Flying low to maintain visual contact with the ground the plane ran into down drafts that exceeded its ability to climb. The plane crashed and burned.
447,March,12,1937,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Heinkel He-111V2,No category,Gambia,"Las Palmas, Canary Islands - Bathhurst, Gambia",4 ,4 ,0,The German mail plane crashed into a swamp.
448,March,24,1937,c,14,00,Imperial Airways,Air,Short  S-23 (flying boat),No category,France,"Southhampton, England - Alexandria, Egypt",6 ,5 ,0,Crashed into a mountainside in a snowstorm.
449,March,25,1937,not c,18,40,Trans Continental and Western Air,Air,Douglas DC-2-112,No category,United States,Newark - Camden - Pittsburg,13 ,13 ,0,Crashed while attempting to land. Heavy icing which rendered the plane uncontrollable.
450,March,26,1937,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,Germany,Unknown,6 ,2 ,0,Engine failure.
451,May,06,1937,not c,19,25,Deutsche Zeppelin Reederei,No category,Zeppelin LZ-129,No category,United States,Frankfurt - Lakehurst N.J.,97 ,35 ,1,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were static discharge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a static discharge between the Hindenburg's outer skin and frame causing the hydrogen to ignite."
452,May,20,1937,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Heinkel He-70,No category,Germany,Unknown,4 ,4 ,0,Crashed on takeoff.
453,June,02,1937,not c,Unknown,Unknown,Linea Aerea Nacional de Chile,Air,Sirkorsky S-43 (flying boat),No category,Chile,Puerto Montt - Magallanes,9 ,9 ,0,Disappeared over the Sea of Chiloe
454,July,02,1937,not c,Unknown,Unknown,Private - Purdue Reasearch Foundation,No category,Lockheed 10E Electra,Cessna,New Guinea,Lae - Howland Island,2 ,2 ,0,"The plane disappeared while en route from  Lae to Howland Island. The aircraft had to be flown higher than expected due to storms which used extra fuel.  In addition, strong head winds were encountered.  The aircraft most likely ran out of fuel and ditched into the ocean 50 to 100 miles northwest of Howland Island. Amelia Earhart, 40, and navigator Fred Noonan, killed."
455,July,28,1937,not c,10,40,KLM Royal Dutch Airlines,Air,Douglas DC-2-115L,No category,Belgium,Amsterdam - Paris,15 ,15 ,0,The aircraft crashed  into a potato field after possibly being struck by lightning and after an in-flight fire.
456,August,02,1937,not c,Unknown,Unknown,Ala Littoria,No category,Savoia-Marchetti SM73,No category,Sudan,"Rome, Italy - Kartoum",9 ,9 ,0,"Crashed into a building on takeoff. The accident happened after the crew abandoned the approach and attempt an overshoot maneuver,"
457,August,03,1937,not c,Unknown,Unknown,Pan American Grace Airways,Air,Sikorsky S-43,No category,Panama,"Santiago, Chili - Cristobal, Panama",14 ,14 ,0,The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire.
458,August,08,1937,not c,10,50,China National Aviation Corporation,No category,Sikorsky S-43,No category,China,Canton - Shanghi,11 ,3 ,0,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued. The aircraft was named Chekiang.
459,August,10,1937,not c,04,40,Eastern Air Lines,Air,Douglas DC-2,No category,United States,Chicago - Daytona,9 ,4 ,0,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.
460,August,23,1937,not c,Unknown,Unknown,Pan American Grace Airways,Air,Douglas DC-2,No category,Argentina,Mendosa - Cordoba,3 ,3 ,0,Crashed and burned in dense fog while enroute.
461,August,27,1937,not c,Unknown,Unknown,Guinea Airways,Air,Stinson SR-7 Reliant,No category,Australia,Unknown,2 ,1 ,0,Unknown
462,October,01,1937,not c,Unknown,Unknown,Imperial Airways,Air,Short Empire Flying Boat,No category,Greece,"Alexandria, Egypt  - Athens, Greece",14 ,2 ,0,Crashed as it landed in Phaleron Bay. Two passengers drowned. Poor visibility was blamed for the accident.
463,October,06,1937,not c,12,25,KLM Royal Dutch Airlines,Air,Douglas DC-3,No category,Netherlands Indies,Palembang - Singapore,11 ,4 ,0,"Bronislaw Hubermann, celibrated Polish violinist was sightly injured."
464,October,17,1937,not c,21,00,United Air Lines,Air,Douglas DC-3,No category,United States,Cheyenne - Salt Lake City,19 ,19 ,0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front."
465,October,26,1937,c,04,30,Air France,Air,Dewoitine D-333,No category,Off Western Africa,Dakar - Casablanca,6 ,6 ,0,Disappeared after sending a distress call while en route.
466,November,12,1937,c,16,50,Deutsche Lufthansa,No category,Heinkel He-111,No category,Germany,Berlin - Mannheim,12 ,10 ,0,Hit the ground prematurely while attempting to land in fog.
467,November,16,1937,c,14,30,Sabena,No category,Junkers JU-52/3m,No category,Belgium,Cologne - Brussels - London,11 ,11 ,0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weather
conditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility."
468,November,26,1937,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52,No category,London,Unknown,3 ,3 ,0,Unknown
469,December,05,1937,not c,09,00,Imperial Airways,Air,Short Empire Flying Boat,No category,Italy,India - London,19 ,2 ,0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.
470,December,08,1937,not c,Unknown,Unknown,Air France,Air,Potez 621,No category,France,Unknown,7 ,2 ,0,Crashed in poor weather conditions.
471,December,24,1937,c,17,30,Air France,Air,Wibault 283-T12,No category,Czechoslovakia,Bucharest - Vienna - Prague - Paris,3 ,3 ,0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons."
472,January,04,1938,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,Germany,"Milan, Italy - Frankfurt, Germany",6 ,6 ,0,Icing on the wing caused the plane to crash close to the plane's destination.
473,January,10,1938,not c,15,07,Northwest Orient Airlines,Air,Lockheed 14H Super Electra,Cessna,United States,Seattle - Billings - Chicago,10 ,10 ,0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft."
474,January,11,1938,not c,19,40,Pan American World Airways,Air,Sikorsky S-42 (flying boat),No category,U.S. Samoa,Honolulu - Pago Pago - Auckland,7 ,7 ,0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first pilot, Captain Edwin C. Musick, killed."
475,January,12,1938,not c,Unknown,Unknown,General Airways,Air,Stinson Reliant,No category,Canada,Sioux Lookout - Hudson,1 ,1 ,0,Crashed in rugged terrain while en route.
476,February,02,1938,c,20,40,Military - U.S. Navy / Military - U.S. Navy,Military,Consolidated PBY-2 / Consolidated PBY-2,No category,United States,Unknown,14 ,11 ,0,The two aircraft crashed in mid-air in heavy rain and darkness and crashed into the sea.
477,February,05,1938,not c,Unknown,Unknown,TsAGI,No category,V6 (airship),No category,Russia,Moscow - Murmansk,19 ,13 ,0,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain.
478,February,09,1938,not c,Unknown,Unknown,Air France,Air,Lioré-et-Olivier H-242,No category,France,"Marseille, France - Ajaccio, Corsica",12 ,8 ,0,The flying boat struck the breakwater in fog at 60 miles an hour and burst into flames while attempting to take off.
479,February,09,1938,not c,Unknown,Unknown,Mexicana,No category,Lockheed 10 Electra,Cessna,Mexico,Test flight,2 ,2 ,0,Crashed on a second test flight.
480,February,13,1938,not c,Unknown,Unknown,Ala Littoria SA,No category,Cant Z-506,No category,Mediterranean Sea,"Cazid, Spain - Rome, Italy",14 ,14 ,0,Disappeared over the Mediterranean Sea while flying in a storm
481,February,22,1938,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU.52,No category,France,"Berlin, Germany - Paris, France",3 ,3 ,0,Crashed in fog within a few miles of it's destination near Bourget Airport.
482,March,01,1938,not c,21,30,Trans Continental and Western Air,Air,Douglas DC-2-112,No category,Cailifornia,"San Francisco - Winslow, AZ,  Burbank, CA",9 ,9 ,0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.
483,March,07,1938,not c,Unknown,Unknown,Air France,Air,Potez 621,No category,India,"Hanoi, Vietnam - Paris, France",7 ,7 ,0,Crashed and burst into flames shortly after taking off from Dum Dum.
484,March,08,1938,not c,Unknown,Unknown,Australian National Airways,Air,De Havilland DH-60,No category,Australia,Unknown,1 ,1 ,0,Unknown
485,March,23,1938,c,07,00,Air France,Air,Dewoitine D-338,No category,France,"Casablanca, Morocco - Paris France",8 ,8 ,0,The mail plane crashed into a mountain peak in  the Pyrenees mountains while en route.
486,April,30,1938,c,14,00,Ala Littoria,No category,Junkers JU-52,No category,Italy,Brindisi - Rome,19 ,19 ,0,Struck cloud obscured Mount Maranola.
487,May,05,1938,not c,Unknown,Unknown,Lineas Aéreas Mineras,Air,Lockheed Vega 5B,Cessna,Mexico,Mexico City - Juarez,6 ,1 ,0,Crashed en route
488,May,10,1938,not c,Unknown,Unknown,United Airways of New Zealand,Air,Lockheed 10 Electra,Cessna,New Zealand,Unknown,2 ,2 ,0,Unknown
489,May,16,1938,not c,02,07,Northwest Orient Airlines,Air,Lockheed 14-H2 Super Electra,Cessna,United States,"Burbank,- St. Paul",9 ,9 ,0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames."
490,May,22,1938,not c,13,40,Cruzeiro do Sul,No category,Junkers JU-52/3m,No category,Brazil,Unknown,17 ,2 ,0,The mail plane crashed while taking off.
491,May,24,1938,not c,22,17,United Air Lines,Air,Douglas DST-A-207A,No category,United States,Newark - Cleveland - Chicago,10 ,10 ,0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.
492,May,27,1938,not c,Unknown,Unknown,Ginger Coote Airways,Air,Fairchild 51,No category,Canada,Unknown,1 ,1 ,0,Unknown
493,May,27,1938,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Heinkel 116,No category,Germany,Unknown,3 ,3 ,0,Unknown
494,June,08,1938,not c,Unknown,Unknown,Wilson Airways,Air,De Havilland DH-85,No category,Tanganyika,Unknown,3 ,3 ,0,Unknown
495,June,19,1938,not c,Unknown,Unknown,Pan American Grace Airways,Air,Douglas DC-2,No category,Chile,Unknown,4 ,4 ,0,"An hour after leaving Santiago, radio contact with the flight was lost, as it had crashed in the high Andes.  It was not found until February 1941, by indians, who plundered the aircraft and the dead passengers looking for valuables."
496,July,08,1938,not c,02,56,Northwest Orient Airlines,Air,Lockheed 14 Super Electra,Cessna,United States,Seattle - Chicago,10 ,10 ,0,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact."
497,July,14,1938,c,08,00,Ala Littoria,No category,Savoia Marchetti S-66,No category,Italy,Cagliari - Rome,20 ,20 ,0,The flying boat crashed into the Tyrrhenian Sea after the collapse of a wing.
498,July,22,1938,c,17,40,LOT Polish Airlines,Air,Lockheed 14H Super Electra,Cessna,Romania,"Warsaw, Poland - Bucharest, Romania",14 ,14 ,0,Crashed after being struck by lightning.
499,July,24,1938,c,13,00,Military - Colombian Army,Military,Curtiss-Wright Hawk,No category,Near Bogota Colombia,Unknown,1 ,1 ,52,One aircraft from a squadron performing aerobatics before a large crowd crashed into the grandstands. A gust of wind caused the aircraft to lose control during a looping maneuver.
500,July,27,1938,not c,Unknown,Unknown,Imperial Airways,Air,Armstrong-Withworth Atlanta,No category,Kenya,Kisumu - Alexandria,4 ,4 ,0,"Flew into a hillside soon after takeoff from Kisumu. The ship was named ""Amalthea."""
501,July,29,1938,not c,04,11,Pan American World Airways,Air,Martin M-130 (flying boat),No category,Pacific Ocean between Manila and Guam,Alameda - Manila,15 ,15 ,0,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named ""Hawaii Clipper."""
502,August,10,1938,not c,Unknown,Unknown,Magyar Legiforagalmi,No category,Ford Tri-motor F-VIII,No category,Hungary,Unknown,12 ,12 ,0,Crashed during a thunderstorm. The plane was carrying Hungarian journalists.
503,August,10,1938,not c,Unknown,Unknown,Dai Nippon,Air,Douglas DF-151,No category,Japan,Unknown,6 ,6 ,0,Unknown
504,August,12,1938,c,12,30,Mexicana,No category,Lockheed 10E Electra,Cessna,Mexico,Villahermosa - Veracruz,11 ,11 ,0,Crashed in heavy rain in an area being affected by a hurricane.
505,August,13,1938,c,11,00,CSA Czech Airlines,Air,Savoia-Marchetti SM73,No category,Germany,"Prague - Paris, France",17 ,16 ,0,Crashed into the Black Forest mountains in poor weather conditions. One stewardess survived.
506,August,15,1938,not c,Unknown,Unknown,Syndicato Condor,No category,Junkers JU-52/3m,No category,Brazil,Guanabara - Victoria,9 ,9 ,0,"Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay."
507,August,18,1938,not c,Unknown,Unknown,LOT Polish Airlines,Air,Lockheed 14 Electra,Cessna,Romania,Unknown,7 ,7 ,0,Caught fire after a ground looping.
508,August,18,1938,c,17,00,Macchi,No category,Macchi C-94,No category,Italy,Sightseeing,15 ,15 ,0,The sea plane crashed shortly after taking off on a test flight and sank.
509,August,24,1938,not c,Unknown,Unknown,Japan Air / Japan Flying School,Air,Unknown / Unknown,No category,Japan,Unknown,5 ,5 ,53,"Midair collision between the airliner and a small plane. The wreckage fell on the suburbs of Tokyo.  Three killed on the airliner, two in the trainer and 53 on the ground."
510,August,24,1938,c,08,00,China National Aviation Corporation,No category,Douglas DC-2,No category,China,Hong Kong - Chungking,17 ,14 ,0,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin. The plane was rebuilt to fly again only to be shot down again by Japanese military."
511,August,29,1938,not c,Unknown,Unknown,North Queensland Airways,Air,De Havilland DH-84,No category,Australia,Unknown,9 ,5 ,0,Crashed into a cane field while attempting to land when the pilot swerved to avoid a tractor.
512,August,29,1938,c,23,00,Transcontinental &Western Air,Air,Ford Tri-motor,No category,United States,Amarillo - Kansas City,5 ,5 ,0,The mail /passenger transport crashed 10 miles south of Tucumcari after penetrating a strong storm.
513,October,01,1938,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Junkers JU-52/3m,No category,Switzerland,"Frankfurt, Germany - Milan, Italy",13 ,13 ,0,"While flying over the Alps, the aircraft disappeared. A search was unsuccessful and  no trace of the aircraft nor the occupant was found. A mountain guide found debris 14 years later, on the slope of the Pizzo Cengalo on the border with Switzerland. Some mail bags were recovered and sent to the local post office."
514,October,01,1938,not c,Unknown,Unknown,Deutsche Lufthansa,No category,Dornier DO.18,No category,Gambia,"Frankfurt, Germany - Milan, Italy",4 ,4 ,0,Unknown
515,October,10,1938,c,11,00,Sabena,No category,Savbia-Marchetti  S-73P,No category,Germany,Brussells - Berlin,20 ,20 ,0,The aircraft broke-up in midair and crashed to the ground.Airport.
516,October,25,1938,c,13,45,Australian National Airways,Air,Douglas DC-2-112,No category,Australia,Adelaide - Melbourne,18 ,18 ,0,Crashed into Mt. Daodenong in heavy fog while en route. Procedural errors by the crew.
517,November,02,1938,not c,Unknown,Unknown,British Airways,Air,Lockheed 14 Electra,Cessna,England,Unknown,2 ,2 ,0,Unknown
518,November,04,1938,not c,10,50,Jersey Airways,Air,de Havilland DH-86,No category,Jersey,Channel Islands - Southhampton,14 ,14 ,1,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him. The pilot allowed the plane to fall into a side-slip while climbing through a low overcast and at an insufficient altitude for him to regain contol.
519,November,14,1938,not c,18,41,KLM Royal Dutch Airlines,Air,Douglas DC-3,No category,Amsterdam,Berlin-Amsterdam,19 ,6 ,0,The aircraft flew into the ground during approach in poor visibility. The first officer was commander of the military flying school Soesterberg. Pilot descended below a safe height during the approach.
520,November,18,1938,not c,00,51,Trans Canada Air Lines,Air,Lockheed 14 Electra,Cessna,Canada,Winnipeg - Regina - Vancouver,2 ,2 ,0,The mail plane crashed several minutes after taking off from Regina
521,November,26,1938,c,15,20,Deutsche Lufthansa,No category,Junkers JU90V2,No category,Gambia,Unknown,15 ,11 ,0,During takeoff the aircraft hit a palm tree and burst into flames due to double engine failure.
522,November,27,1938,not c,Unknown,Unknown,Imperial Airways,Air,Short Empire Flying Boat,No category,Iraq,Unknown,6 ,4 ,0,The flying boat crashed on Lake Ramadi.
523,November,29,1938,not c,05,30,United Air Lines,Air,Douglas DC 3-A-SB-3-G-14,No category,United States,"Seattle, WA - Medford, OR - Oakland,CA",7 ,5 ,0,"The aircraft ran out of fuel and ditched into the ocean. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply."
524,December,02,1938,c,07,55,Mexicana,No category,Lockheed 10E Electra,Cessna,Mexico,Mexico City - Merida,8 ,8 ,0,Crashed and burned on a hill while taking off. The pilot did not have authorization to take off during poor visibility.
525,December,08,1938,c,09,00,Japan Aviation Corporation,No category,Nakajima A-T2,No category,East China Sea,Fukuoka - Taihoku,15 ,10 ,0,Crashed into the ocean after experiencing engine failure.
526,December,08,1938,not c,Unknown,Unknown,Japan Aviation Corporation,No category,Nakajima DC-2,No category,Japan,Unknown,12 ,10 ,0,Crashed into the sea near Okinawa due to engine failure.
527,December,09,1938,not c,11,20,KLM Royal Dutch Airlines,Air,Lockheed 14-WF62 Super Electra,Cessna,Netherlands,Instructional Flight,4 ,4 ,0,Struck a dyke near Schiphol Airport and caught fire while taking off.
528,December,12,1938,not c,Unknown,Unknown,Qantas,No category,Short S23 ‘C’ Class flying boat,No category,Australia,Unknown,13 ,13 ,0,Shot down by Japanese aircraft. Owned by Imperial Airways and operated by Qanta
529,January,07,1939,c,16,30,Swissair,Air,Douglas DC-2-115B,No category,France,Zurich - Geneva - Paris,9 ,5 ,0,The aircraft crashed while attempting to land in low overcast.
530,January,13,1939,not c,21,15,Northwest Orient Airlines,Air,Lockheed 14-H Super Electra,Cessna,United States,Chicago - Seattle,4 ,4 ,0,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire."
531,January,13,1939,not c,Unknown,Unknown,Syndicato Condor,No category,Junkers JU-52/3m,No category,Brazil,Unknown,9 ,9 ,0,The seaplane crashed in flames in mountains northeast of Rio de Janeiro.
532,January,18,1939,not c,Unknown,Unknown,Guinea Airways,Air,Lockheed 14 Electra,Cessna,Australia,Katherine - Adelaide,4 ,4 ,0,Crashed into the Katherine River during a storm.
533,January,21,1939,c,12,30,Imperial Airways,Air,Short S-23 (flying boat),No category,Atlantic Ocean between N.Y. and Bermuda,New York City - Bermuda,13 ,3 ,0,"While en route, the aircraft ditched, broke in two  and sank in the Atlantic Ocean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named Cavalier."
